"metric","stage","sites","range","tau5","tau","tau95","p","dispersion","area","speciesN"
"gcd","Guadalupian",15,5.92811521741634,0.330690563566325,0.355814239873003,0.376471949315405,5.88398467489223e-12,3410.7672108729,51482.7589583706,170
"gcd","Guadalupian",20,5.99564610608483,0.349056068487125,0.36933058264476,0.388741165614923,9.0719455850581e-13,3410.7672108729,51482.7589583706,170
"gcd","Meramecian",3,5.54858880043541,0.195223725645363,0.263314568777465,0.3403418081605,0.000374310172717514,4673.4046674481,44242.0861145043,85
"gcd","Meramecian",5,5.90863048191445,0.24620052690068,0.306591456281979,0.370129795663607,3.44609615338737e-05,4673.4046674481,44242.0861145043,85
"gcd","Meramecian",7,6.05210232566711,0.26162845627729,0.31867526253324,0.383618695665014,1.66613167855265e-05,4673.4046674481,44242.0861145043,85
"gcd","Meramecian",10,6.14798529126327,0.285430744404772,0.328510918784266,0.372068825038809,9.06249926000709e-06,4673.4046674481,44242.0861145043,85
"gcd","Meramecian",15,6.23903747754297,0.287988015030039,0.332164162534647,0.383590593790011,7.19835109896094e-06,4673.4046674481,44242.0861145043,85
"gcd","Meramecian",20,6.28163306797674,0.282395741904456,0.333850275034823,0.379712535039606,6.4669514654468e-06,4673.4046674481,44242.0861145043,85
"gcd","Leonardian",3,5.27531879729531,0.260517888284625,0.321696728972054,0.354534308177271,4.34282951608476e-10,4716.57206709196,88599.6916446008,171
"gcd","Leonardian",5,5.66977544699024,0.314439272800467,0.356538027101305,0.393245331513763,4.60726567226694e-12,4716.57206709196,88599.6916446008,171
"gcd","Leonardian",7,5.83962284126774,0.342367396360199,0.380224601323563,0.410025616798542,1.62427974432655e-13,4716.57206709196,88599.6916446008,171
"gcd","Leonardian",10,5.97288232268047,0.363100034436716,0.395510704455368,0.420168152795457,1.67860037188695e-14,4716.57206709196,88599.6916446008,171
"gcd","Leonardian",15,6.07956685147487,0.378028084702371,0.411347658150482,0.434827663411499,1.4636973731943e-15,4716.57206709196,88599.6916446008,171
"gcd","Leonardian",20,6.14545839863242,0.391379325230556,0.422846663659543,0.44805496256294,2.33278323848098e-16,4716.57206709196,88599.6916446008,171
"gcd","Chesterian",3,4.92401115163757,0.295660026667308,0.343940792801511,0.390100104546808,3.83646171276637e-10,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",5,5.29127657321803,0.333147893597948,0.363917821630383,0.388995180385919,3.48962547336168e-11,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",7,5.45090568238366,0.353284031505988,0.378237638755504,0.40921971222683,5.78154513662047e-12,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",10,5.58135631578265,0.369380566681818,0.394325334538047,0.415274696628502,7.08383223030912e-13,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",15,5.6941733321963,0.384124674684721,0.408291575931684,0.431300516658035,1.06942457994266e-13,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",20,5.75359166593462,0.396075534408895,0.418987241809089,0.44159840983752,2.40816680634641e-14,5082.14955220225,49170.1693231065,151
"gcd","Kinderhookian",3,5.05007723727904,0.26827128337346,0.310288036987462,0.349309844960846,3.54758678263425e-08,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",5,5.49943877677968,0.302139451121104,0.347627619000369,0.391900305694318,6.60309346688404e-10,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",7,5.68582303262888,0.334374012155684,0.376604690458302,0.42756738559623,2.23793744213837e-11,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",10,5.84873648939923,0.368329694548671,0.404414899978331,0.446227452753201,6.76534067682454e-13,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",15,5.97341752291489,0.402713226318889,0.435628456817246,0.465529293976019,1.01109728236908e-14,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",20,6.05039673053949,0.422598498510658,0.454006532339223,0.478102231356927,7.32635213163509e-16,5362.40446676549,70905.9092518669,144
"gcd","Wolfcampian",3,5.11814081786732,0.340927182859364,0.389588561291488,0.421929585888929,4.4378168425469e-19,5640.07726505589,51463.6934721114,237
"gcd","Wolfcampian",5,5.54815390860123,0.421834157687324,0.44793852552621,0.472685951508231,1.03800586476799e-24,5640.07726505589,51463.6934721114,237
"gcd","Wolfcampian",7,5.72082028528757,0.460863764976633,0.484546084568435,0.503523300134411,1.21908531946863e-28,5640.07726505589,51463.6934721114,237
"gcd","Wolfcampian",10,5.8456028748088,0.482682308192945,0.51046823160932,0.530521620034463,1.33244626828054e-31,5640.07726505589,51463.6934721114,237
"gcd","Wolfcampian",15,5.95755980056759,0.51529302880517,0.533090125672855,0.552983523799729,2.58883377257099e-34,5640.07726505589,51463.6934721114,237
"gcd","Wolfcampian",20,6.01539626399869,0.528464669140208,0.548544087174041,0.562932011516117,3.1265808692858e-36,5640.07726505589,51463.6934721114,237
"gcd","Osagean",3,5.53367928277344,0.357823714307547,0.402981957209169,0.450142685716074,1.3586276942578e-14,5985.73607934559,50409.543630228,166
"gcd","Osagean",5,5.91787626153167,0.431331014373013,0.464737443941441,0.492991492664158,6.71195752825225e-19,5985.73607934559,50409.543630228,166
"gcd","Osagean",7,6.08000694051637,0.461931040757394,0.49309380944691,0.519016497191214,4.41548725674348e-21,5985.73607934559,50409.543630228,166
"gcd","Osagean",10,6.20507809158303,0.491829466345764,0.514799584073519,0.53990373755581,7.8033778336144e-23,5985.73607934559,50409.543630228,166
"gcd","Osagean",15,6.31322922742481,0.508426710176414,0.5287585165775,0.547526337870811,5.39242488113413e-24,5985.73607934559,50409.543630228,166
"gcd","Osagean",20,6.36230656297031,0.518789938600835,0.538624777771413,0.555499738583818,7.6331726230593e-25,5985.73607934559,50409.543630228,166
"gcd","Virgilian",3,5.34067290737928,0.406739109869818,0.44588079038655,0.494092620340504,1.93546026306233e-22,6201.5547605201,112514.851625785,216
"gcd","Virgilian",5,5.76035426625112,0.480136224128076,0.508014545676211,0.5443813206169,1.20223074054274e-28,6201.5547605201,112514.851625785,216
"gcd","Virgilian",7,5.92249381815357,0.513572974547477,0.539339954896449,0.559621756987186,4.50767369597892e-32,6201.5547605201,112514.851625785,216
"gcd","Virgilian",10,6.06297396167048,0.535526614159185,0.557997316921708,0.580937685379554,3.25247063742557e-34,6201.5547605201,112514.851625785,216
"gcd","Virgilian",15,6.18289707894328,0.561047989511519,0.57811969120761,0.593597114855353,1.3355445600915e-36,6201.5547605201,112514.851625785,216
"gcd","Virgilian",20,6.24748729706719,0.571203971565453,0.589021105970636,0.604347719532725,6.27231388479978e-38,6201.5547605201,112514.851625785,216
"gcd","Morrowan",3,5.01192507526536,0.331522930908318,0.375599203645433,0.417751722572292,4.59143731133498e-14,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",5,5.45865163354197,0.385944430967277,0.417127497356716,0.446172897312333,5.39659131137206e-17,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",7,5.65655205134274,0.407706588092423,0.44496203722775,0.476562602162713,4.02460554753342e-19,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",10,5.8001028478541,0.447128363393305,0.471546303721065,0.496238335860607,2.77208055259028e-21,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",15,5.93928099448226,0.469975585213002,0.497506288837351,0.514830973348984,1.64173204246508e-23,6853.98707473175,94673.2986955261,183
"gcd","Morrowan",20,6.03451052105176,0.493263754232699,0.513370724186193,0.532732546418757,6.27261985250577e-25,6853.98707473175,94673.2986955261,183
"gcd","Missourian",3,5.26609089951033,0.361964674676512,0.412588174092387,0.455488275242789,2.90837439791466e-18,6958.23333869135,148350.056294045,202
"gcd","Missourian",5,5.68687572253818,0.435295063568479,0.478880265139366,0.508270580300194,4.71529363446013e-24,6958.23333869135,148350.056294045,202
"gcd","Missourian",7,5.8749335151183,0.47487809577653,0.507762915959834,0.529030601674906,7.70589463331437e-27,6958.23333869135,148350.056294045,202
"gcd","Missourian",10,6.0263552317064,0.502735560356271,0.529695986975377,0.548617573408786,4.62555514005873e-29,6958.23333869135,148350.056294045,202
"gcd","Missourian",15,6.15758447387948,0.528749661214707,0.549411106989349,0.570747795624469,3.85791467134079e-31,6958.23333869135,148350.056294045,202
"gcd","Missourian",20,6.23116330090421,0.542348165244343,0.564443886000002,0.580970085351713,8.96464124686505e-33,6958.23333869135,148350.056294045,202
"gcd","Desmoinesian",3,5.33150795446888,0.390664026250386,0.424809194840327,0.46497543335145,1.90224368793584e-19,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",5,5.73581153897927,0.453329543696517,0.491881787541769,0.520160520430014,1.58203574487168e-25,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",7,5.89651345729042,0.479051979643907,0.513482255076023,0.538122251487021,1.13865692960472e-27,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",10,6.03065167843581,0.512597940633346,0.536677387998712,0.560292932705625,4.49364783091729e-30,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",15,6.14796904700576,0.54144688720594,0.560452399244468,0.582154345485259,1.20500145203293e-32,8223.55019875379,204216.725025965,204
"gcd","Desmoinesian",20,6.21380222235313,0.552367928957039,0.571856672931457,0.589291681178344,6.43646811885078e-34,8223.55019875379,204216.725025965,204
"gcd","Atokan",3,5.42187732674797,0.381177338432871,0.417993087849552,0.461493743642601,5.2067558208289e-18,8561.33380655695,114346.681376788,194
"gcd","Atokan",5,5.82998778685916,0.434053218794012,0.472800251227746,0.510823772829236,1.32603468374012e-22,8561.33380655695,114346.681376788,194
"gcd","Atokan",7,5.9808237291881,0.472617554055736,0.500187178626765,0.525688279601634,4.16878718417723e-25,8561.33380655695,114346.681376788,194
"gcd","Atokan",10,6.1022283349926,0.500620125425961,0.523812176805118,0.546116954497034,2.24326288259144e-27,8561.33380655695,114346.681376788,194
"gcd","Atokan",15,6.20383093570658,0.525549309024114,0.547116473650733,0.567288587479943,1.02727790365303e-29,8561.33380655695,114346.681376788,194
"gcd","Atokan",20,6.26105248620094,0.548730670358847,0.563098090065502,0.578914010791689,2.23635631595728e-31,8561.33380655695,114346.681376788,194
"gcell","Lopingian",3,1.18826829075645,0.204190025771022,0.271361054157196,0.347260262202221,0.000182192622422766,919.715755415681,6818.48979849024,123
"gcell","Lopingian",5,1.26324741160471,0.24481894370903,0.307116782246153,0.385221738448473,1.60101248792744e-05,919.715755415681,6818.48979849024,123
"gcell","Lopingian",7,1.31407378645053,0.27236035179857,0.329842486964042,0.38951900112599,2.59312140611816e-06,919.715755415681,6818.48979849024,123
