"metric","stage","sites","range","tau5","tau","tau95","p","dispersion","area","speciesN"
"gcd","Leonardian",20,6.37710140394105,0.303869866273701,0.370325634438592,0.471145705892299,8.12477279371038e-10,4716.57206709196,88599.6916446008,171
"gcd","Leonardian",55,6.52320547549855,0.353477395769332,0.420749618260676,0.463905290268155,1.38340567851158e-14,4716.57206709196,88599.6916446008,171
"gcd","Leonardian",148,6.61431000946348,0.41328869075504,0.442494426732652,0.463432675065093,4.1854130697697e-17,4716.57206709196,88599.6916446008,171
"gcd","Leonardian",403,6.63901667719684,0.442714461371686,0.45045845778995,0.452893650540352,3.42114491475342e-18,4716.57206709196,88599.6916446008,171
"gcd","Leonardian",1097,6.64132456380975,0.450729634148208,0.450729634148208,0.450729634148208,3.23036367591454e-18,4716.57206709196,88599.6916446008,171
"gcd","Chesterian",7,6.75993677372284,0.287101442716034,0.40095383704638,0.539758796759551,1.17298504496662e-05,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",20,6.86538620289838,0.301797929104927,0.37689306516697,0.486184741363589,7.84944059015725e-07,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",55,6.79431001309672,0.297808762256511,0.346249720675101,0.460620919586776,3.14393211844342e-08,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",148,6.08590735922825,0.304327338414689,0.340865204218403,0.417072987031022,4.84477534871105e-09,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",403,6.06378318651603,0.327816088537538,0.36491615565942,0.366211217543842,1.10372688465559e-10,5082.14955220225,49170.1693231065,151
"gcd","Chesterian",1097,6.06414006650337,0.36491615565942,0.36491615565942,0.36491615565942,1.10372688465559e-10,5082.14955220225,49170.1693231065,151
"gcd","Kinderhookian",7,6.70907696115511,0.213524495419923,0.406771053853356,0.569270922527431,6.34994452228999e-05,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",20,6.91780033961216,0.343100528622154,0.503053500987468,0.59564781748669,2.45298291771659e-09,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",55,6.87178079717121,0.321373712981702,0.483812893018106,0.578349893141849,2.54287694789008e-11,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",148,6.64186772682256,0.332442741458012,0.373592769880654,0.52411350063841,7.19926549639475e-10,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",403,6.65030544447931,0.349064145627231,0.364487490089828,0.380751222691277,5.76672136624581e-10,5362.40446676549,70905.9092518669,144
"gcd","Kinderhookian",1097,6.65151579972594,0.364487490089828,0.364487490089828,0.364487490089828,5.76672136624581e-10,5362.40446676549,70905.9092518669,144
"gcd","Wolfcampian",7,6.64507752531087,0.323183716542375,0.445675944204344,0.5661063954292,1.33253456036383e-10,5640.07726505589,51463.6934721114,237
"gcd","Wolfcampian",20,6.69658568437354,0.443654038107148,0.547340569750056,0.605546604122383,3.83657573057587e-24,5640.07726505589,51463.6934721114,237
"gcd","Wolfcampian",55,6.72822448723398,0.545856933089528,0.578575207526305,0.61359815328241,1.06875626886119e-31,5640.07726505589,51463.6934721114,237
"gcd","Wolfcampian",148,6.70366412367173,0.570443942011478,0.590366254868047,0.608165034182038,3.7178051716265e-36,5640.07726505589,51463.6934721114,237
"gcd","Wolfcampian",403,6.67045151840067,0.590618055744586,0.59648820674874,0.60649768718466,1.38562202824628e-38,5640.07726505589,51463.6934721114,237
