"species","chull","latrange","gcd","gcell"
"Perognathus_longimembris",482991.117,10.9317399,1261.66396,17
"Perognathus_merriami",516653.1351,10.19279746,1256.390201,13
"Perognathus_parvus",895152.0307,13.19681241,1586.480311,22
"Peromyscus_attwateri",452873.3683,8.7757,1136.408715,13
"Peromyscus_boylii",2156434.296,17.30390587,2454.163877,46
"Peromyscus_californicus",103352.9786,5.54478218,838.278531,7
"Peromyscus_crinitus",879751.9681,13.27940044,1615.695097,20
"Peromyscus_eremicus",480353.6725,10.18817198,1942.392139,18
"Peromyscus_fraterculus",28049.05167,1.59829045,408.7433728,2
"Peromyscus_gossypinus",1147165.73,12.83643552,2009.586534,27
"Peromyscus_gratus",47523.76058,3.38068799,386.5469862,3
"Peromyscus_keeni",21334.20949,2.43785541,312.14968,4
"Peromyscus_leucopus",4849697.144,23.163755,4104.605788,82
"Peromyscus_maniculatus",6696595.783,21.26093359,4662.044356,106
"Peromyscus_melanotis",2106.61411,0.61580734,68.68923482,2
"Peromyscus_merriami",33076.71407,2.04794917,327.4891707,2
"Peromyscus_nasutus",444032.7422,12.18084462,1365.183972,13
"Peromyscus_pectoralis",222175.0043,5.80533136,863.1448567,9
"Peromyscus_polionotus",376185.5655,9.6077,1291.926983,11
"Peromyscus_truei",1431585.054,15.1757,2349.761336,38
"Phenacomys_intermedius",297987.6526,13.65425841,1935.569588,18
"Phenacomys_ungava",2867.15089,2.91757819,881.4462996,1
"Pipistrellus_hesperus",1447718.586,17.05223659,2498.016528,32
"Pipistrellus_subflavus",3463292.666,22.27613552,3554.038892,62
"Podomys_floridanus",68723.79076,4.62770573,547.8442564,5
"Poliocitellus_franklinii",1198540.976,12.11712241,1654.989127,22
"Procyon_lotor",7055592.777,24.43695793,4662.045158,119
"Puma_concolor",2948690.544,23.56417231,4560.555926,60
"Rangifer_tarandus",9389.918727,1.01661241,165.7948142,4
"Reithrodontomys_fulvescens",1105126.717,12.34327737,2172.076076,26
"Reithrodontomys_humulis",1295128.603,13.938,2056.607843,30
"Reithrodontomys_megalotis",3964624.243,20.029033,3141.783912,70
"Reithrodontomys_montanus",1611850.865,18.20503698,2106.425242,33
"Reithrodontomys_raviventris",940.2000206,0.8269,106.9924347,1
"Scalopus_aquaticus",3426179.642,21.0331,3363.884959,62
"Scapanus_latimanus",321031.0297,10.90980028,1313.718774,11
"Scapanus_orarius",338902.8157,9.33640029,1066.118223,10
"Scapanus_townsendii",112882.1743,8.60495841,981.4471131,8
"Sciurus_aberti",182250.4751,8.59920676,989.1361825,9
"Sciurus_arizonensis",34939.41149,3.47835166,420.6998091,5
"Sciurus_carolinensis",3563158.274,24.05328693,4634.455072,64
"Sciurus_griseus",370465.7687,15.79125215,1780.492417,15
"Sciurus_nayaritensis",4077.908032,0.62053824,129.8606051,1
"Sciurus_niger",4215204.148,24.10024937,4281.774746,77
"Sigmodon_arizonae",73950.39503,3.61558234,714.716818,6
