"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Kinderhookian",15,9.92514273199176,144,0,-1.25160106304947,0.0125744759956523,0.739583333333333,0.0995789843979834,8.5871677480222,0.109966849766883,-0.341173261459618,0.75,0.333333333333333
"Kinderhookian",20,10.0850375820969,144,0,-1.35267467418574,0.0144904594467742,0.75,0.092039628632229,8.5871677480222,0.109966849766883,-0.341173261459618,0.75,0.333333333333333
"Kinderhookian",3,6.80795286926536,144,0,-1.12053514457315,0.00155728976735576,0.744791666666667,0.0869504572050914,8.5871677480222,0.109966849766883,-0.341173261459618,0.75,0.333333333333333
"Kinderhookian",5,8.58025309193418,144,0,-1.2316221124522,0.00519545348103683,0.755208333333333,0.0876740871889331,8.5871677480222,0.109966849766883,-0.341173261459618,0.75,0.333333333333333
"Kinderhookian",7,9.08157540844945,144,0,-1.32380528289529,0.0204998049107676,0.75,0.0759044909322356,8.5871677480222,0.109966849766883,-0.341173261459618,0.75,0.333333333333333
"Leonardian",10,10.2142917529671,171,3,-2.179933553296,0.0833497706461151,0.754385964912281,0.125346677854673,8.45883755775521,-0.324145024257989,-0.542881403183909,0.75,0.333333333333333
"Leonardian",15,10.5479635058403,171,3,-2.63583572957816,0.125885239579647,0.754385964912281,0.131607297927825,8.45883755775521,-0.324145024257989,-0.542881403183909,0.75,0.333333333333333
"Leonardian",20,10.7364286982135,171,3,-2.30750884456419,0.0945244041023465,0.754385964912281,0.105101582013004,8.45883755775521,-0.324145024257989,-0.542881403183909,0.75,0.333333333333333
"Leonardian",3,7.52954589877903,171,3,-1.68383660977172,0.0504251134447481,0.745614035087719,0.0942421348727444,8.45883755775521,-0.324145024257989,-0.542881403183909,0.75,0.333333333333333
"Leonardian",5,9.23152702276952,171,3,-2.11576251524289,0.0766217264873378,0.763157894736842,0.115151232507698,8.45883755775521,-0.324145024257989,-0.542881403183909,0.75,0.333333333333333
"Leonardian",7,9.80502457333726,171,3,-1.91561735330545,0.0686732541635204,0.758771929824561,0.115289775400415,8.45883755775521,-0.324145024257989,-0.542881403183909,0.75,0.333333333333333
"Lopingian",10,8.67231435960916,123,5,-2.31567816865984,0.0885790367857364,0.74390243902439,0.124534768108814,6.82406466079995,1.76310308722224,2.34171576619062,0.75,0.333333333333333
"Lopingian",15,9.05847344359976,123,5,-2.30555114037687,0.0832745960468751,0.75609756097561,0.112757106297889,6.82406466079995,1.76310308722224,2.34171576619062,0.75,0.333333333333333
"Lopingian",20,9.29134809138126,123,5,-2.57120693565182,0.112409926357892,0.74390243902439,0.142350423483152,6.82406466079995,1.76310308722224,2.34171576619062,0.75,0.333333333333333
"Lopingian",3,5.94878956959753,123,5,-1.92784441578298,0.0691030800641923,0.75609756097561,0.115945724007546,6.82406466079995,1.76310308722224,2.34171576619062,0.75,0.333333333333333
