"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Guadalupian",5,8.89307087366322,170,39,-4.42413536323936,0.579161264193728,0.117647058823529,0.0655420177651547,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",7,9.46066180532295,170,39,-5.3896020685401,0.651323842038614,0.114705882352941,0.0665685205384188,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Kinderhookian",10,9.56949106348247,144,1,0.539381752520042,0.241524744938111,0.0555555555555556,0.109041578629114,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",15,9.92305205874992,144,1,0.345450413144957,0.272020821164097,0.0555555555555556,0.107828578554124,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",20,10.125101797557,144,1,-0.000599770671169404,0.296088962456803,0.0555555555555556,0.120297445705283,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",3,6.80488073095045,144,1,1.49432548758887,0.216404000031835,0.0555555555555556,0.111974396717467,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",5,8.53145621387885,144,1,0.979827621951205,0.22946143826099,0.0555555555555556,0.0874572579493622,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",7,9.12700130981462,144,1,0.64157441180633,0.26402406600719,0.0555555555555556,0.102092320941587,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Leonardian",10,10.2121336534159,171,15,-4.09256612815491,0.559876826233467,0.119883040935673,0.10846793184332,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",15,10.5478136934691,171,15,-4.54742720510247,0.587241897369229,0.12280701754386,0.113114821035457,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",20,10.7330083528018,171,15,-4.68652902623458,0.592484187971121,0.116959064327485,0.129680958031871,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",3,7.55508784343819,171,15,-1.18996160581835,0.365449599888379,0.12280701754386,0.0836722758854071,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",5,9.24174964500599,171,15,-2.6245669645818,0.46523327000682,0.116959064327485,0.089023396288133,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",7,9.80193684216704,171,15,-3.23139736752308,0.49232597527948,0.12280701754386,0.107862730488907,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Lopingian",10,8.69114257607386,123,25,-1.27194727424617,0.263961332603871,0.0894308943089431,0.0452567114588778,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",15,9.06875997268376,123,24.5,-1.37592370396271,0.265551000722392,0.0894308943089431,0.0375943316906077,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",20,9.27232870372982,123,25,-1.53966750019022,0.277760648449515,0.0894308943089431,0.0409814820312843,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",3,5.96864038949305,123,24,-0.104189874695145,0.172496913301935,0.0894308943089431,0.0599316000738946,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",5,7.66027350571922,123,25,-0.75639257817307,0.226835640137565,0.0853658536585366,0.0518135473716221,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",7,8.26772315918707,123,25,-1.13489835442578,0.25877344647983,0.0813008130081301,0.0461727830739768,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Meramecian",10,10.7839643378857,85,1,-0.423145767784878,0.323285302717976,0.0470588235294118,0.165074033595881,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",15,11.0862571938748,85,1,-0.794567335881605,0.332344011571292,0.0470588235294118,0.160577991248943,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",20,11.2428337862568,85,1,-0.588896475194035,0.326812238816363,0.0470588235294118,0.144746369981511,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",3,8.14299683981777,85,1,1.06482300804576,0.256947508093255,0.0470588235294118,0.180264527342515,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
