"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Leonardian",7,8.48230174745025,98,NA,1.07779227913849,0.00358497314811777,0.247703329119258,0.0613688143701478,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",20,10.1537552987859,130,NA,1.07876872230557,0.00378896609993157,0.25,0.0601736413112898,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",55,10.8882567281396,155,NA,1.07246572227481,0.00382266021978027,0.252417335750669,0.053199486528407,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",148,11.5324023369922,167,NA,1.16489586803809,-0.00670658834967618,0.245508982035928,0.0731756544443926,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",403,11.9749301517554,169,NA,1.2206472945909,-0.00603572934197312,0.248520710059172,0.112527213684963,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",1097,11.9973524770398,169,NA,1.15448119639279,-0.00750223045419272,0.248520710059172,0.104727055811972,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Lopingian",7,8.39560384206872,90,NA,1.14584381768238,-0.00515595602385883,0.25,0.106713523978217,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",20,9.03293769682707,117,NA,1.17829620746378,-0.0061652865550889,0.247863247863248,0.0818331495785499,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",55,10.3756954266029,117,NA,0.992942935819928,0.0118990732937669,0.247863247863248,0.10234575527858,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",148,10.3874812336009,117,NA,1.1870822379558,0.00202559475353177,0.247863247863248,0.109729917552348,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",403,10.3874812336009,117,NA,1.12127134435901,-0.00194758965898071,0.256410256410256,0.109021371454938,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",1097,10.3874812336009,117,NA,1.04668725177993,-0.000966968354341742,0.256410256410256,0.111546515501217,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Meramecian",7,10.3674478979252,57,NA,1.23172368506151,-0.0172784763098338,0.251865671641791,0.132910394690485,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",20,11.037500086131,70,NA,1.18890291491365,-0.0104897202050488,0.243243243243243,0.138705003716233,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",55,11.6481491899308,78,NA,1.36620541354938,-0.0261231940447107,0.25,0.131316817357943,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",148,12.2344073989864,80,NA,1.15937088809085,-0.00829971797163468,0.25,0.181769978022983,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",403,12.3551798663407,80,NA,0.936494655374627,0.0190076603000431,0.25625,0.188599805726869,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",1097,12.3558822984465,80,NA,1.28651162155839,-0.00781188152465878,0.2375,0.194366985571653,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Missourian",7,9.19639676986468,73.5,NA,1.09860970695656,-0.00440493534425417,0.254631217838765,0.124106109211594,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",20,9.67033949530813,136.5,NA,1.14089820476685,-0.00252393262751786,0.251798561151079,0.0483558418622455,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",55,11.0292583941027,168,NA,1.10111710208806,-0.0046970175611002,0.251479497146059,0.0509025901784241,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",148,11.7386991350935,183,NA,1.04827506013823,0.00574917004976657,0.243243243243243,0.0644038971454482,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",403,12.1640935771704,188,NA,1.11954731365314,0.000229849873153748,0.25,0.0846203649436097,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",1097,12.3135367330083,188,NA,1.04657241533428,0.00303888453131332,0.25,0.101530659061652,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Morrowan",7,9.80658531101306,68,NA,0.995491598331738,0.0115161628682311,0.258064516129032,0.14242709609839,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
"Morrowan",20,10.8258084058953,96,NA,1.0863884006815,-0.00321624759623134,0.255955757231991,0.0690199517856899,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
"Morrowan",55,10.7547598871216,135,NA,1.01254465291306,0.00644781954020372,0.25,0.0506662491924678,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
"Morrowan",148,11.0620597593896,162,NA,1.10286347152595,0.00354357280635366,0.243826219512195,0.0577981518786812,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
