"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Guadalupian",55,11.1117631860975,150,29,-4.43968327093456,0.462157173231621,0.136054421768708,0.167959993350728,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",148,11.5793576334418,159,34,-8.77346733975957,0.80186049433234,0.144654088050314,0.13960143898088,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",403,11.9156907735792,160,34,-10.4029445805776,0.92678976210676,0.15,0.0980506968082672,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",1097,11.9338940873528,160,34.5,-10.5953789567001,0.938142364234982,0.15,0.0933981048532781,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Kinderhookian",7,10.6518511928784,57,0,1.38629436131214,0.125449587621414,0.0625,14.1952219096805,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",20,11.4340767447422,72,0,1.30728453037356,0.100181965865772,0.0769230769230769,0.170950265699493,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",55,10.6020582236679,102,0,1.7443723126363,0.0608028277384541,0.087859649122807,0.0902728533040809,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",148,10.8178508207996,130,1,1.27773704859741,0.0964136028330054,0.0937375189711638,0.0700057000242345,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",403,11.5768436124807,132,1,0.200499519996258,0.170207429333701,0.0984848484848485,0.0904094454213916,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",1097,11.6121718403433,132,1,-0.142555801946566,0.211406775524137,0.0984848484848485,0.0959642506371124,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Leonardian",7,8.48230174745025,98,3,0.970060084738268,0.137055462704758,0.0936039719626168,0.0787269594012693,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",20,10.1537552987859,130,7,-0.150144191060187,0.183602131567457,0.125492125984252,0.0565246249472391,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",55,10.8882567281396,155,14,-1.56842620061999,0.263424138967198,0.141975308641975,0.0870296474516441,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",148,11.5324023369922,167,17,-3.95617219088118,0.455582943968914,0.150151504220475,0.184836486939887,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",403,11.9749301517554,169,17,-8.22891473131435,0.797208744669242,0.159763313609467,0.164766947402392,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",1097,11.9973524770398,169,18,-8.92537429157433,0.864038643035212,0.153846153846154,0.130243026868614,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Lopingian",7,8.39560384206872,90,52,-1.17276905222885,0.0611724219795976,0.11671826625387,0.467351876543479,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",20,9.03293769682707,117,33,0.387395053260835,-0.00202537393682762,0.11965811965812,0.134676005626131,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",55,10.3756954266029,117,28,-0.622683136907022,0.119116394469033,0.11965811965812,0.0985491945600692,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",148,10.3874812336009,117,28,-0.694163025330289,0.125833908984347,0.11965811965812,0.0453620069875693,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",403,10.3874812336009,117,28,-0.652524955417322,0.122814124029358,0.11965811965812,0.0463347122676271,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",1097,10.3874812336009,117,28,-0.678035578864315,0.123766345237858,0.11965811965812,0.0485001557620298,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Meramecian",7,10.3674478979252,57,0,1.46782972753816,0.123479423728706,0.0582579185520362,20.2651663181984,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",20,11.037500086131,70,1,1.19213046850655,0.11256189078204,0.072463768115942,13.5216008310461,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",55,11.6481491899308,78,1,1.02146014343795,0.118033605706562,0.0769230769230769,0.110300466014935,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",148,12.2344073989864,80,1,-1.05022414690402,0.289040777736575,0.075,0.206341922340496,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",403,12.3551798663407,80,1,-2.16023873623027,0.389673698407788,0.075,0.212156665965074,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",1097,12.3558822984465,80,1,-2.05673718198424,0.371168376202091,0.075,0.245545451774803,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Missourian",7,9.19639676986468,73.5,0,1.87002039051778,0.076235689961822,0.0796825396825397,11.3360023623527,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",20,9.67033949530813,136.5,0,1.34073323386771,0.0928119602515134,0.106308991554893,0.0546513623871004,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",55,11.0292583941027,168,1,0.43965746769417,0.144791072319285,0.127330631152287,0.0482245648090189,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",148,11.7386991350935,183,2,-0.540095785130271,0.201489559089527,0.144385026737968,0.0795639575435764,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",403,12.1640935771704,188,2,-2.68153031364038,0.371683405348559,0.154255319148936,0.149466202997603,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
